id,date_updated,vehicle_id,vehicle_label,vehicle_current_status,position_latitude,position_longitude,geographic_point,position_speed,position_odometer,trip_schedule_relationship,trip_id,trip_start_date,trip_route_id,alcaldia
36,2021-01-27 18:00:02,702,802,0,19.48349952697754,-99.11389923095705,"19.483499527,-99.113899231",5,0,0,9673172,2020-04-28,171,Gustavo A. Madero
37,2021-01-27 18:00:02,705,805,1,19.487499237060547,-99.11380004882812,"19.4874992371,-99.1138000488",0,547,0,9673362,2020-04-28,171,Gustavo A. Madero
38,2021-01-27 18:00:02,713,813,1,19.454599380493164,-99.13020324707033,"19.4545993805,-99.1302032471",8,223,0,9673662,2020-04-28,171,Cuauhtémoc
39,2021-01-27 18:00:02,716,816,1,19.425800323486328,-99.19309997558594,"19.4258003235,-99.1930999756",3,643,0,9670725,2020-04-28,171,Miguel Hidalgo
40,2021-01-27 18:00:02,753,905,1,19.453399658203125,-99.13079833984376,"19.4533996582,-99.1307983398",5,0,0,9672098,2020-04-28,171,Cuauhtémoc
41,2021-01-27 18:00:02,757,909,1,19.45929908752441,-99.12840270996094,"19.4592990875,-99.12840271",0,181,0,9673542,2020-04-28,171,Cuauhtémoc
42,2021-01-27 18:00:02,760,912,1,19.42679977416992,-99.19940185546876,"19.4267997742,-99.1994018555",0,0,2,0,,0,Miguel Hidalgo
43,2021-01-27 18:00:02,766,918,1,19.429800033569336,-99.1614990234375,"19.4298000336,-99.1614990234",5,147,0,9674093,2020-04-28,171,Cuauhtémoc
44,2021-01-27 18:00:02,787,939,1,19.48730087280273,-99.11370086669922,"19.4873008728,-99.1137008667",0,531,0,9671181,2020-04-28,171,Gustavo A. Madero
45,2021-01-27 18:00:02,789,941,0,19.44379997253418,-99.13909912109376,"19.4437999725,-99.1390991211",0,0,0,9673841,2020-04-28,171,Cuauhtémoc
46,2021-01-27 18:00:02,1253,1000,1,19.39590072631836,-99.15660095214844,"19.3959007263,-99.1566009521",1,759,0,9736034,2020-04-28,301,Benito Juárez
47,2021-01-27 18:00:02,531,1057,0,19.27939987182617,-99.16899871826172,"19.2793998718,-99.1689987183",3,0,0,9732533,2020-04-28,367,Tlalpan
48,2021-01-27 18:00:02,1174,1093,1,19.41939926147461,-99.16429901123048,"19.4193992615,-99.1642990112",2,310,0,9731219,2020-04-28,367,Cuauhtémoc
49,2021-01-27 18:00:02,1160,1101,0,19.498899459838867,-99.11940002441406,"19.4988994598,-99.1194000244",0,96,2,0,,0,Gustavo A. Madero
50,2021-01-27 18:00:02,1165,1106,0,19.41990089416504,-99.16410064697266,"19.4199008942,-99.164100647",3,0,0,9730577,2020-04-28,367,Cuauhtémoc
51,2021-01-27 18:00:02,988,1111,0,19.3981990814209,-99.1710968017578,"19.3981990814,-99.1710968018",0,0,0,9731606,2020-04-28,367,Benito Juárez
52,2021-01-27 18:00:02,990,1113,1,19.301700592041016,-99.18589782714844,"19.301700592,-99.1858978271",14,243,0,9729664,2020-04-28,367,Tlalpan
53,2021-01-27 18:00:02,1220,1115,1,19.441200256347656,-99.15489959716795,"19.4412002563,-99.1548995972",4,0,2,0,,0,Cuauhtémoc
54,2021-01-27 18:00:02,1067,1304,1,19.497299194335938,-99.11969757080078,"19.4972991943,-99.1196975708",5,0,0,9734363,2020-04-28,367,Gustavo A. Madero
55,2021-01-27 18:00:02,1069,1306,0,19.49760055541992,-99.11940002441406,"19.4976005554,-99.1194000244",0,0,0,9734546,2020-04-28,367,Gustavo A. Madero
56,2021-01-27 18:00:02,1188,2306,1,19.40559959411621,-99.1855010986328,"19.4055995941,-99.1855010986",11,437,0,9736315,2020-04-28,301,Miguel Hidalgo
57,2021-01-27 18:00:02,1190,2308,0,19.4822006225586,-99.10559844970705,"19.4822006226,-99.1055984497",0,0,0,9741359,2020-04-28,61,Gustavo A. Madero
58,2021-01-27 18:00:02,1191,2309,1,19.480100631713867,-99.10089874267578,"19.4801006317,-99.1008987427",8,0,0,9739779,2020-04-28,61,Gustavo A. Madero
59,2021-01-27 18:00:02,1236,2312,1,19.404199600219727,-99.17330169677734,"19.4041996002,-99.1733016968",10,0,0,9736177,2020-04-28,301,Cuauhtémoc
60,2021-01-27 18:00:02,1214,2313,1,19.40449905395508,-99.17420196533205,"19.404499054,-99.1742019653",8,0,0,9736599,2020-04-28,301,Cuauhtémoc
61,2021-01-27 18:00:02,1217,2316,1,19.3843002319336,-99.07599639892578,"19.3843002319,-99.0759963989",6,478,0,9737443,2020-04-28,301,Iztapalapa
62,2021-01-27 18:00:02,10007,2338,1,19.386499404907227,-99.07949829101562,"19.3864994049,-99.079498291",6,0,0,9738223,2020-04-28,301,Iztapalapa
63,2021-01-27 18:00:02,1237,2346,1,19.39609909057617,-99.15910339355467,"19.3960990906,-99.1591033936",11,415,0,9736821,2020-04-28,301,Benito Juárez
64,2021-01-27 18:00:02,1025,2352,1,19.38640022277832,-99.0718994140625,"19.3864002228,-99.0718994141",13,564,0,9737527,2020-04-28,301,Iztapalapa
65,2021-01-27 18:00:02,1230,2361,1,19.39780044555664,-99.12930297851562,"19.3978004456,-99.1293029785",0,0,0,9735848,2020-04-28,301,Iztacalco
66,2021-01-27 18:00:02,1233,2364,0,19.39389991760254,-99.09049987792967,"19.3938999176,-99.0904998779",6,0,0,9738271,2020-04-28,301,Iztacalco
67,2021-01-27 18:00:02,1241,2376,0,19.39579963684082,-99.15499877929688,"19.3957996368,-99.1549987793",3,0,0,9735980,2020-04-28,301,Benito Juárez
68,2021-01-27 18:00:02,178,120,1,19.37339973449707,-99.1791000366211,"19.3733997345,-99.1791000366",0,510,0,9731964,2020-04-28,367,Benito Juárez
69,2021-01-27 18:00:02,1287,220,1,19.45109939575196,-99.10970306396484,"19.4510993958,-99.109703064",10,306,0,9679184,2020-04-28,161,Venustiano Carranza
70,2021-01-27 18:00:02,1288,221,1,19.39080047607422,-99.04730224609376,"19.3908004761,-99.0473022461",0,46,2,0,,0,Iztapalapa
71,2021-01-27 18:00:02,366,308,1,19.396499633789062,-99.0561981201172,"19.3964996338,-99.0561981201",9,0,0,9737997,2020-04-28,301,Iztapalapa
72,2021-01-27 18:00:02,416,358,0,19.40780067443848,-99.18920135498048,"19.4078006744,-99.189201355",4,0,0,9736539,2020-04-28,301,Miguel Hidalgo
73,2021-01-27 18:00:02,422,364,1,19.404600143432617,-99.17420196533205,"19.4046001434,-99.1742019653",6,0,0,9736683,2020-04-28,301,Cuauhtémoc
74,2021-01-27 18:00:02,432,374,0,19.402000427246094,-99.18710327148438,"19.4020004272,-99.1871032715",0,0,0,9736405,2020-04-28,301,Miguel Hidalgo
75,2021-01-27 18:00:02,450,392,1,19.394500732421875,-99.14089965820312,"19.3945007324,-99.1408996582",6,0,0,9737013,2020-04-28,301,Benito Juárez
76,2021-01-27 18:00:02,452,394,1,19.391000747680664,-99.04769897460938,"19.3910007477,-99.0476989746",0,0,0,9738322,2020-04-28,301,Iztapalapa
77,2021-01-27 18:00:02,1021,398,1,19.3971004486084,-99.10289764404295,"19.3971004486,-99.102897644",9,648,0,9738355,2020-04-28,301,Iztacalco
78,2021-01-27 18:00:02,24,424,1,19.52050018310547,-99.16410064697266,"19.5205001831,-99.164100647",6,566,0,9684853,2020-04-28,1,Gustavo A. Madero
79,2021-01-27 18:00:02,26,426,1,19.4606990814209,-99.1438980102539,"19.4606990814,-99.1438980103",8,332,0,9684193,2020-04-28,1,Cuauhtémoc
80,2021-01-27 18:00:02,35,435,1,19.479400634765625,-99.14820098876952,"19.4794006348,-99.1482009888",1,0,0,9684361,2020-04-28,1,Gustavo A. Madero
81,2021-01-27 18:00:02,51,451,1,19.3971004486084,-99.15589904785156,"19.3971004486,-99.1558990479",0,294,2,0,,0,Benito Juárez
82,2021-01-27 18:00:02,56,456,1,19.47360038757324,-99.14600372314452,"19.4736003876,-99.1460037231",0,710,0,9684297,2020-04-28,1,Gustavo A. Madero
83,2021-01-27 18:00:02,986,472,0,19.44619941711425,-99.14710235595705,"19.4461994171,-99.147102356",1,0,0,9685379,2020-04-28,1,Cuauhtémoc
84,2021-01-27 18:00:02,472,514,0,19.44219970703125,-99.15249633789062,"19.442199707,-99.1524963379",0,0,0,9755255,2020-04-28,241,Cuauhtémoc
85,2021-01-27 18:00:02,474,516,0,19.425199508666992,-99.11979675292967,"19.4251995087,-99.1197967529",5,0,0,9755075,2020-04-28,241,Venustiano Carranza
86,2021-01-27 18:00:02,476,518,1,19.43790054321289,-99.14869689941406,"19.4379005432,-99.1486968994",2,285,0,9755287,2020-04-28,241,Cuauhtémoc
87,2021-01-27 18:00:02,482,524,0,19.430400848388672,-99.1417999267578,"19.4304008484,-99.1417999268",5,0,0,9755678,2020-04-28,241,Cuauhtémoc
